doc_id,item,category,amount,price,discount
FB704164D74F,Блендер погружной,Мелкая бытовая техника,1,2030.86,0
59B1F3C09499,Чайник заварочный,Кухонная утварь,3,666.81,140.69
59B1F3C09499,Кондиционер для белья,Бытовая химия,3,212.48,0
59B1F3C09499,Полотенце махровое,Текстиль,2,354.38,0
5451A434E0EF,Кастрюля эмалированная,Кухонная утварь,1,979.5,123.96
5451A434E0EF,Тостер,Мелкая бытовая техника,2,1465.83,0
5451A434E0EF,Тостер,Мелкая бытовая техника,1,1455.53,0
5451A434E0EF,Скатерть,Текстиль,2,577.75,0
5451A434E0EF,Форма для выпечки,Кухонная утварь,1,444.62,0
94AE3F53BF3D,Чайник заварочный,Кухонная утварь,3,700.04,267.26
94AE3F53BF3D,Плед флисовый,Текстиль,1,883.04,0
A64E4D83FEBA,Сковорода с антипригарным покрытием,Кухонная утварь,1,1805.22,241.6
A64E4D83FEBA,Кастрюля эмалированная,Кухонная утварь,1,902.93,0
A64E4D83FEBA,Чайник заварочный,Кухонная утварь,3,691.45,0
F639A9E5DF69,Кастрюля эмалированная,Кухонная утварь,3,971.87,559.86
F639A9E5DF69,Сковорода с антипригарным покрытием,Кухонная утварь,1,1866.06,0
65567F273135,Кастрюля эмалированная,Кухонная утварь,3,978.52,0
65567F273135,Таблетки для посудомойки,Бытовая химия,2,778.67,106.53
65567F273135,Средство для чистки стекол,Бытовая химия,2,116.98,0
FDF18062F392,Стиральный порошок 3кг,Бытовая химия,2,431.48,0
FDF18062F392,Тостер,Мелкая бытовая техника,3,1495.24,0
FDF18062F392,Таблетки для посудомойки,Бытовая химия,3,787.08,271.48
BF66E32EB151,Полотенце махровое,Текстиль,3,357.56,0
862A5FD5630F,Блендер погружной,Мелкая бытовая техника,1,2178.78,0
862A5FD5630F,Полотенце махровое,Текстиль,3,337.98,155.82
862A5FD5630F,Средство для мытья посуды,Бытовая химия,3,151.35,66.28
69E8F0A6E566,Весы кухонные,Мелкая бытовая техника,1,828.0,0
44D0D6D79EA5,Весы кухонные,Мелкая бытовая техника,3,829.9,0
44D0D6D79EA5,Тостер,Мелкая бытовая техника,1,1453.2,208.78
44D0D6D79EA5,Таблетки для посудомойки,Бытовая химия,3,782.78,0
44D0D6D79EA5,Средство для чистки стекол,Бытовая химия,2,124.51,0
44D0D6D79EA5,Тостер,Мелкая бытовая техника,3,1563.74,0
4DF59D0ED866,Сковорода с антипригарным покрытием,Кухонная утварь,2,1765.08,0
4DF59D0ED866,Форма для выпечки,Кухонная утварь,1,438.83,0
230AF878999F,Чайник заварочный,Кухонная утварь,2,711.15,165.12
22F07A309EE7,Весы кухонные,Мелкая бытовая техника,3,819.76,370.33
22F07A309EE7,Скатерть,Текстиль,3,589.39,159.64
5EDE3DD6F210,Стиральный порошок 3кг,Бытовая химия,1,462.63,0
5EDE3DD6F210,Средство для мытья посуды,Бытовая химия,3,144.4,0
5EDE3DD6F210,Полотенце махровое,Текстиль,2,362.78,38.38
